task,participant,judge,run_id,server_type,file,runtime_s,accuracy_overall,accuracy_univariate,accuracy_bivariate,accuracy_trivariate,accuracy_coherence,accuracy_overall_max,accuracy_univariate_max,accuracy_bivariate_max,accuracy_trivariate_max,accuracy_coherence_max,similarity_cosine_similarity_training_synthetic,similarity_cosine_similarity_training_holdout,similarity_discriminator_auc_training_synthetic,similarity_discriminator_auc_training_holdout,distances_ims_training,distances_ims_holdout,distances_ims_trn_hol,distances_dcr_training,distances_dcr_holdout,distances_dcr_trn_hol,distances_dcr_share,distances_nndr_training,distances_nndr_holdout,distances_nndr_trn_hol,distances_nndr_ratio
SEQU4,Tecnarca,suhas,3,g5.2xlarge,synthetic-SEQU4-run3.csv.gz,3916,0.9685234,0.98945,0.9717482,0.9304334,0.982462,0.9721157,0.9911918,0.9744407,0.9344945,0.9883357,0.999909,0.9999785,0.518,0.508,0.003,0.003,0.004,0.104,0.105,0.101,0.512,9.3571e-08,8.5438e-08,8.7454e-08,1.0951918350148646
SEQU4,Tecnarca,andrey,4,g5.2xlarge,synthetic-SEQU4-run4.csv.gz,3647,0.9683167,0.9891409,0.9719296,0.9304213,0.981775,0.9721032,0.9911945,0.9744391,0.9344383,0.9883407,0.9998477,0.999978,0.518,0.504,0.003,0.003,0.004,0.104,0.105,0.101,0.512,9.0874e-08,9.2677e-08,8.74e-08,0.98054533487273
SEQU4,Tecnarca,andrey,5,g5.2xlarge,synthetic-SEQU4-run5.csv.gz,3927,0.9691879,0.9908191,0.9721675,0.9306568,0.9831083,0.9721496,0.9912018,0.9744725,0.9345839,0.9883403,0.999945,0.999978,0.51,0.502,0.003,0.003,0.004,0.104,0.105,0.101,0.511,9.6435e-08,9.8727e-08,8.7942e-08,0.9767844662554317
SEQU4,Tecnarca,andrey,6,g5.2xlarge,synthetic-SEQU4-run6.csv.gz,3931,0.9691938,0.9908682,0.9728373,0.9311132,0.9819567,0.9722121,0.9912073,0.9745151,0.9347879,0.9883383,0.9999022,0.9999779,0.51,0.509,0.003,0.003,0.004,0.103,0.104,0.102,0.511,9.9568e-08,7.9969e-08,8.851e-08,1.2450824694569145
SEQU5,filomba01,abhishek,1,g5.2xlarge,synthetic-SEQU5-run1.csv.gz,243,0.9664006,0.9859545,0.9692878,0.9294332,0.980927,0.9721282,0.9911982,0.9744589,0.9345275,0.988328,0.9998638,0.9999781,0.522,0.503,0.003,0.003,0.004,0.103,0.104,0.101,0.511,9.1306e-08,8.5797e-08,9.0373e-08,1.0642097043020151
SEQU5,filomba01,abhishek,2,g5.2xlarge,synthetic-SEQU5-run2.csv.gz,242,0.9666855,0.9867118,0.9698782,0.9293795,0.9807723,0.9721039,0.9911945,0.9744351,0.9344581,0.988328,0.9998643,0.9999775,0.523,0.51,0.003,0.003,0.004,0.103,0.104,0.102,0.511,9.1837e-08,8.7473e-08,8.9061e-08,1.0498896802441897
SEQU5,filomba01,abhishek,3,g5.2xlarge,synthetic-SEQU5-run3.csv.gz,243,0.9658556,0.9854355,0.9686991,0.9282538,0.981034,0.9721156,0.9911918,0.9744407,0.9344945,0.9883353,0.9998635,0.9999784,0.515,0.503,0.003,0.003,0.004,0.103,0.104,0.102,0.511,9.0305e-08,8.3533e-08,8.7972e-08,1.0810697568625574
SEQU5,filomba01,michi,4,g5.2xlarge,synthetic-SEQU5-run4.csv.gz,336,0.9661445,0.9860382,0.969156,0.9284076,0.980976,0.9721032,0.9911945,0.9744391,0.9344383,0.9883407,0.9998643,0.9999779,0.514,0.501,0.003,0.003,0.004,0.103,0.104,0.101,0.512,9.1147e-08,8.6322e-08,9.0078e-08,1.0558953685039736
SEQU5,filomba01,michi,5,g5.2xlarge,synthetic-SEQU5-run5.csv.gz,311,0.9662212,0.9858691,0.9687805,0.928772,0.9814633,0.9721496,0.9912018,0.9744725,0.9345839,0.98834,0.9998639,0.9999782,0.517,0.51,0.003,0.003,0.004,0.103,0.104,0.101,0.512,9.2609e-08,8.3529e-08,9.0404e-08,1.108704761220654
SEQU5,filomba01,michi,6,g5.2xlarge,synthetic-SEQU5-run6.csv.gz,318,0.9667376,0.9864691,0.9696058,0.9301652,0.9807103,0.9722119,0.9912073,0.9745151,0.9347879,0.9883373,0.9998655,0.9999779,0.513,0.507,0.003,0.003,0.004,0.103,0.104,0.101,0.511,9.1951e-08,8.6673e-08,8.7647e-08,1.0608955499405812
